Day,Cash On Hand
0,3500000
1,3487400
2,3210120
3,1598818
4,891896
5,543767
6,617722
7,271937
8,295327
9,335239
10,17629
11,514822
12,513443
13,419817
14,1695440
15,1381894
16,233469
17,151368
18,266456
19,578082
20,33482
21,258317
22,581724
23,1947360
24,1553880
25,1139935
26,1218058
27,1218066
28,1691267
29,1748764
30,1452766
31,2427632
32,2604610
33,2610211
34,1885760
35,1991501
36,2966521
37,3635233
38,3856679
39,3488558
40,4190879
41,4024806
42,4715332
43,4181531
44,4248072
45,4337458
46,3916968
47,4049683
48,4191545
49,4207553
50,5426280
51,5561588
52,5403838
53,5324758
54,5314361
55,5276696
56,5454151
57,5616536
58,5666106
59,7630407
60,7788824
61,7621013
62,7679773
63,7244122
64,7341561
65,7651333
66,7746242
67,7760033
68,7508986
69,7149180
70,7040870
71,6975738
72,6719748
73,6788942
74,5537975
75,5730026
76,5826141
77,4997480
78,6652360
79,7906503
80,8208513
81,8447680
82,8208750
83,7279653
84,7404067
85,7744511
86,8048746
87,7978284
88,7365873
89,7476656
90,7662278
